"","Survived","Pclass","Sex","Age","Family","Embarked"
"1","0","3","male",22,"Yes","S"
"2","1","1","female",38,"Yes","C"
"3","1","3","female",26,"No","S"
"4","1","1","female",35,"Yes","S"
"5","0","3","male",35,"No","S"
"6","0","3","male",25.1406197183099,"No","Q"
"7","0","1","male",54,"No","S"
"8","0","3","male",2,"Yes","S"
"9","1","3","female",27,"Yes","S"
"10","1","2","female",14,"Yes","C"
"11","1","3","female",4,"Yes","S"
"12","1","1","female",58,"No","S"
"13","0","3","male",20,"No","S"
"14","0","3","male",39,"Yes","S"
"15","0","3","female",14,"No","S"
"16","1","2","female",55,"No","S"
"17","0","3","male",2,"Yes","Q"
"18","1","2","male",29.8776300578035,"No","S"
"19","0","3","female",31,"Yes","S"
"20","1","3","female",25.1406197183099,"No","C"
"21","0","2","male",35,"No","S"
"22","1","2","male",34,"No","S"
"23","1","3","female",15,"No","Q"
"24","1","1","male",28,"No","S"
"25","0","3","female",8,"Yes","S"
"26","1","3","female",38,"Yes","S"
"27","0","3","male",25.1406197183099,"No","C"
"28","0","1","male",19,"Yes","S"
"29","1","3","female",25.1406197183099,"No","Q"
"30","0","3","male",25.1406197183099,"No","S"
"31","0","1","male",40,"No","C"
"32","1","1","female",38.2334408602151,"Yes","C"
"33","1","3","female",25.1406197183099,"No","Q"
"34","0","2","male",66,"No","S"
"35","0","1","male",28,"Yes","C"
"36","0","1","male",42,"Yes","S"
"37","1","3","male",25.1406197183099,"No","C"
"38","0","3","male",21,"No","S"
"39","0","3","female",18,"Yes","S"
"40","1","3","female",14,"Yes","C"
"41","0","3","female",40,"Yes","S"
"42","0","2","female",27,"Yes","S"
"43","0","3","male",25.1406197183099,"No","C"
"44","1","2","female",3,"Yes","C"
"45","1","3","female",19,"No","Q"
"46","0","3","male",25.1406197183099,"No","S"
"47","0","3","male",25.1406197183099,"Yes","Q"
"48","1","3","female",25.1406197183099,"No","Q"
"49","0","3","male",25.1406197183099,"Yes","C"
"50","0","3","female",18,"Yes","S"
"51","0","3","male",7,"Yes","S"
"52","0","3","male",21,"No","S"
"53","1","1","female",49,"Yes","C"
"54","1","2","female",29,"Yes","S"
"55","0","1","male",65,"Yes","C"
"56","1","1","male",38.2334408602151,"No","S"
"57","1","2","female",21,"No","S"
"58","0","3","male",28.5,"No","C"
"59","1","2","female",5,"Yes","S"
"60","0","3","male",11,"Yes","S"
"61","0","3","male",22,"No","C"
"62","1","1","female",38,"No","S"
"63","0","1","male",45,"Yes","S"
"64","0","3","male",4,"Yes","S"
"65","0","1","male",38.2334408602151,"No","C"
"66","1","3","male",25.1406197183099,"Yes","C"
"67","1","2","female",29,"No","S"
"68","0","3","male",19,"No","S"
"69","1","3","female",17,"Yes","S"
"70","0","3","male",26,"Yes","S"
"71","0","2","male",32,"No","S"
"72","0","3","female",16,"Yes","S"
"73","0","2","male",21,"No","S"
"74","0","3","male",26,"Yes","C"
"75","1","3","male",32,"No","S"
"76","0","3","male",25,"No","S"
"77","0","3","male",25.1406197183099,"No","S"
"78","0","3","male",25.1406197183099,"No","S"
"79","1","2","male",0.83,"Yes","S"
"80","1","3","female",30,"No","S"
"81","0","3","male",22,"No","S"
"82","1","3","male",29,"No","S"
"83","1","3","female",25.1406197183099,"No","Q"
"84","0","1","male",28,"No","S"
"85","1","2","female",17,"No","S"
"86","1","3","female",33,"Yes","S"
"87","0","3","male",16,"Yes","S"
"88","0","3","male",25.1406197183099,"No","S"
"89","1","1","female",23,"Yes","S"
"90","0","3","male",24,"No","S"
"91","0","3","male",29,"No","S"
"92","0","3","male",20,"No","S"
"93","0","1","male",46,"Yes","S"
"94","0","3","male",26,"Yes","S"
"95","0","3","male",59,"No","S"
"96","0","3","male",25.1406197183099,"No","S"
"97","0","1","male",71,"No","C"
"98","1","1","male",23,"Yes","C"
"99","1","2","female",34,"Yes","S"
"100","0","2","male",34,"Yes","S"
"101","0","3","female",28,"No","S"
"102","0","3","male",25.1406197183099,"No","S"
"103","0","1","male",21,"Yes","S"
"104","0","3","male",33,"No","S"
"105","0","3","male",37,"Yes","S"
"106","0","3","male",28,"No","S"
"107","1","3","female",21,"No","S"
"108","1","3","male",25.1406197183099,"No","S"
"109","0","3","male",38,"No","S"
"110","1","3","female",25.1406197183099,"Yes","Q"
"111","0","1","male",47,"No","S"
"112","0","3","female",14.5,"Yes","C"
"113","0","3","male",22,"No","S"
"114","0","3","female",20,"Yes","S"
"115","0","3","female",17,"No","C"
"116","0","3","male",21,"No","S"
"117","0","3","male",70.5,"No","Q"
"118","0","2","male",29,"Yes","S"
"119","0","1","male",24,"Yes","C"
"120","0","3","female",2,"Yes","S"
"121","0","2","male",21,"Yes","S"
"122","0","3","male",25.1406197183099,"No","S"
"123","0","2","male",32.5,"Yes","C"
"124","1","2","female",32.5,"No","S"
"125","0","1","male",54,"Yes","S"
"126","1","3","male",12,"Yes","C"
"127","0","3","male",25.1406197183099,"No","Q"
"128","1","3","male",24,"No","S"
"129","1","3","female",25.1406197183099,"Yes","C"
"130","0","3","male",45,"No","S"
"131","0","3","male",33,"No","C"
"132","0","3","male",20,"No","S"
"133","0","3","female",47,"Yes","S"
"134","1","2","female",29,"Yes","S"
"135","0","2","male",25,"No","S"
"136","0","2","male",23,"No","C"
"137","1","1","female",19,"Yes","S"
"138","0","1","male",37,"Yes","S"
"139","0","3","male",16,"No","S"
"140","0","1","male",24,"No","C"
"141","0","3","female",25.1406197183099,"Yes","C"
"142","1","3","female",22,"No","S"
"143","1","3","female",24,"Yes","S"
"144","0","3","male",19,"No","Q"
"145","0","2","male",18,"No","S"
"146","0","2","male",19,"Yes","S"
"147","1","3","male",27,"No","S"
"148","0","3","female",9,"Yes","S"
"149","0","2","male",36.5,"Yes","S"
"150","0","2","male",42,"No","S"
"151","0","2","male",51,"No","S"
"152","1","1","female",22,"Yes","S"
"153","0","3","male",55.5,"No","S"
"154","0","3","male",40.5,"Yes","S"
"155","0","3","male",25.1406197183099,"No","S"
"156","0","1","male",51,"Yes","C"
"157","1","3","female",16,"No","Q"
"158","0","3","male",30,"No","S"
"159","0","3","male",25.1406197183099,"No","S"
"160","0","3","male",25.1406197183099,"Yes","S"
"161","0","3","male",44,"Yes","S"
"162","1","2","female",40,"No","S"
"163","0","3","male",26,"No","S"
"164","0","3","male",17,"No","S"
"165","0","3","male",1,"Yes","S"
"166","1","3","male",9,"Yes","S"
"167","1","1","female",38.2334408602151,"Yes","S"
"168","0","3","female",45,"Yes","S"
"169","0","1","male",38.2334408602151,"No","S"
"170","0","3","male",28,"No","S"
"171","0","1","male",61,"No","S"
"172","0","3","male",4,"Yes","Q"
"173","1","3","female",1,"Yes","S"
"174","0","3","male",21,"No","S"
"175","0","1","male",56,"No","C"
"176","0","3","male",18,"Yes","S"
"177","0","3","male",25.1406197183099,"Yes","S"
"178","0","1","female",50,"No","C"
"179","0","2","male",30,"No","S"
"180","0","3","male",36,"No","S"
"181","0","3","female",25.1406197183099,"Yes","S"
"182","0","2","male",29.8776300578035,"No","C"
"183","0","3","male",9,"Yes","S"
"184","1","2","male",1,"Yes","S"
"185","1","3","female",4,"Yes","S"
"186","0","1","male",38.2334408602151,"No","S"
"187","1","3","female",25.1406197183099,"Yes","Q"
"188","1","1","male",45,"No","S"
"189","0","3","male",40,"Yes","Q"
"190","0","3","male",36,"No","S"
"191","1","2","female",32,"No","S"
"192","0","2","male",19,"No","S"
"193","1","3","female",19,"Yes","S"
"194","1","2","male",3,"Yes","S"
"195","1","1","female",44,"No","C"
"196","1","1","female",58,"No","C"
"197","0","3","male",25.1406197183099,"No","Q"
"198","0","3","male",42,"Yes","S"
"199","1","3","female",25.1406197183099,"No","Q"
"200","0","2","female",24,"No","S"
"201","0","3","male",28,"No","S"
"202","0","3","male",25.1406197183099,"Yes","S"
"203","0","3","male",34,"No","S"
"204","0","3","male",45.5,"No","C"
"205","1","3","male",18,"No","S"
"206","0","3","female",2,"Yes","S"
"207","0","3","male",32,"Yes","S"
"208","1","3","male",26,"No","C"
"209","1","3","female",16,"No","Q"
"210","1","1","male",40,"No","C"
"211","0","3","male",24,"No","S"
"212","1","2","female",35,"No","S"
"213","0","3","male",22,"No","S"
"214","0","2","male",30,"No","S"
"215","0","3","male",25.1406197183099,"Yes","Q"
"216","1","1","female",31,"Yes","C"
"217","1","3","female",27,"No","S"
"218","0","2","male",42,"Yes","S"
"219","1","1","female",32,"No","C"
"220","0","2","male",30,"No","S"
"221","1","3","male",16,"No","S"
"222","0","2","male",27,"No","S"
"223","0","3","male",51,"No","S"
"224","0","3","male",25.1406197183099,"No","S"
"225","1","1","male",38,"Yes","S"
"226","0","3","male",22,"No","S"
"227","1","2","male",19,"No","S"
"228","0","3","male",20.5,"No","S"
"229","0","2","male",18,"No","S"
"230","0","3","female",25.1406197183099,"Yes","S"
"231","1","1","female",35,"Yes","S"
"232","0","3","male",29,"No","S"
"233","0","2","male",59,"No","S"
"234","1","3","female",5,"Yes","S"
"235","0","2","male",24,"No","S"
"236","0","3","female",25.1406197183099,"No","S"
"237","0","2","male",44,"Yes","S"
"238","1","2","female",8,"Yes","S"
"239","0","2","male",19,"No","S"
"240","0","2","male",33,"No","S"
"241","0","3","female",25.1406197183099,"Yes","C"
"242","1","3","female",25.1406197183099,"Yes","Q"
"243","0","2","male",29,"No","S"
"244","0","3","male",22,"No","S"
"245","0","3","male",30,"No","C"
"246","0","1","male",44,"Yes","Q"
"247","0","3","female",25,"No","S"
"248","1","2","female",24,"Yes","S"
"249","1","1","male",37,"Yes","S"
"250","0","2","male",54,"Yes","S"
"251","0","3","male",25.1406197183099,"No","S"
"252","0","3","female",29,"Yes","S"
"253","0","1","male",62,"No","S"
"254","0","3","male",30,"Yes","S"
"255","0","3","female",41,"Yes","S"
"256","1","3","female",29,"Yes","C"
"257","1","1","female",38.2334408602151,"No","C"
"258","1","1","female",30,"No","S"
"259","1","1","female",35,"No","C"
"260","1","2","female",50,"Yes","S"
"261","0","3","male",25.1406197183099,"No","Q"
"262","1","3","male",3,"Yes","S"
"263","0","1","male",52,"Yes","S"
"264","0","1","male",40,"No","S"
"265","0","3","female",25.1406197183099,"No","Q"
"266","0","2","male",36,"No","S"
"267","0","3","male",16,"Yes","S"
"268","1","3","male",25,"Yes","S"
"269","1","1","female",58,"Yes","S"
"270","1","1","female",35,"No","S"
"271","0","1","male",38.2334408602151,"No","S"
"272","1","3","male",25,"No","S"
"273","1","2","female",41,"Yes","S"
"274","0","1","male",37,"Yes","C"
"275","1","3","female",25.1406197183099,"No","Q"
"276","1","1","female",63,"Yes","S"
"277","0","3","female",45,"No","S"
"278","0","2","male",29.8776300578035,"No","S"
"279","0","3","male",7,"Yes","Q"
"280","1","3","female",35,"Yes","S"
"281","0","3","male",65,"No","Q"
"282","0","3","male",28,"No","S"
"283","0","3","male",16,"No","S"
"284","1","3","male",19,"No","S"
"285","0","1","male",38.2334408602151,"No","S"
"286","0","3","male",33,"No","C"
"287","1","3","male",30,"No","S"
"288","0","3","male",22,"No","S"
"289","1","2","male",42,"No","S"
"290","1","3","female",22,"No","Q"
"291","1","1","female",26,"No","S"
"292","1","1","female",19,"Yes","C"
"293","0","2","male",36,"No","C"
"294","0","3","female",24,"No","S"
"295","0","3","male",24,"No","S"
"296","0","1","male",38.2334408602151,"No","C"
"297","0","3","male",23.5,"No","C"
"298","0","1","female",2,"Yes","S"
"299","1","1","male",38.2334408602151,"No","S"
"300","1","1","female",50,"Yes","C"
"301","1","3","female",25.1406197183099,"No","Q"
"302","1","3","male",25.1406197183099,"Yes","Q"
"303","0","3","male",19,"No","S"
"304","1","2","female",29.8776300578035,"No","Q"
"305","0","3","male",25.1406197183099,"No","S"
"306","1","1","male",0.92,"Yes","S"
"307","1","1","female",38.2334408602151,"No","C"
"308","1","1","female",17,"Yes","C"
"309","0","2","male",30,"Yes","C"
"310","1","1","female",30,"No","C"
"311","1","1","female",24,"No","C"
"312","1","1","female",18,"Yes","C"
"313","0","2","female",26,"Yes","S"
"314","0","3","male",28,"No","S"
"315","0","2","male",43,"Yes","S"
"316","1","3","female",26,"No","S"
"317","1","2","female",24,"Yes","S"
"318","0","2","male",54,"No","S"
"319","1","1","female",31,"Yes","S"
"320","1","1","female",40,"Yes","C"
"321","0","3","male",22,"No","S"
"322","0","3","male",27,"No","S"
"323","1","2","female",30,"No","Q"
"324","1","2","female",22,"Yes","S"
"325","0","3","male",25.1406197183099,"Yes","S"
"326","1","1","female",36,"No","C"
"327","0","3","male",61,"No","S"
"328","1","2","female",36,"No","S"
"329","1","3","female",31,"Yes","S"
"330","1","1","female",16,"Yes","C"
"331","1","3","female",25.1406197183099,"Yes","Q"
"332","0","1","male",45.5,"No","S"
"333","0","1","male",38,"Yes","S"
"334","0","3","male",16,"Yes","S"
"335","1","1","female",38.2334408602151,"Yes","S"
"336","0","3","male",25.1406197183099,"No","S"
"337","0","1","male",29,"Yes","S"
"338","1","1","female",41,"No","C"
"339","1","3","male",45,"No","S"
"340","0","1","male",45,"No","S"
"341","1","2","male",2,"Yes","S"
"342","1","1","female",24,"Yes","S"
"343","0","2","male",28,"No","S"
"344","0","2","male",25,"No","S"
"345","0","2","male",36,"No","S"
"346","1","2","female",24,"No","S"
"347","1","2","female",40,"No","S"
"348","1","3","female",25.1406197183099,"Yes","S"
"349","1","3","male",3,"Yes","S"
"350","0","3","male",42,"No","S"
"351","0","3","male",23,"No","S"
"352","0","1","male",38.2334408602151,"No","S"
"353","0","3","male",15,"Yes","C"
"354","0","3","male",25,"Yes","S"
"355","0","3","male",25.1406197183099,"No","C"
"356","0","3","male",28,"No","S"
"357","1","1","female",22,"Yes","S"
"358","0","2","female",38,"No","S"
"359","1","3","female",25.1406197183099,"No","Q"
"360","1","3","female",25.1406197183099,"No","Q"
"361","0","3","male",40,"Yes","S"
"362","0","2","male",29,"Yes","C"
"363","0","3","female",45,"Yes","C"
"364","0","3","male",35,"No","S"
"365","0","3","male",25.1406197183099,"Yes","Q"
"366","0","3","male",30,"No","S"
"367","1","1","female",60,"Yes","C"
"368","1","3","female",25.1406197183099,"No","C"
"369","1","3","female",25.1406197183099,"No","Q"
"370","1","1","female",24,"No","C"
"371","1","1","male",25,"Yes","C"
"372","0","3","male",18,"Yes","S"
"373","0","3","male",19,"No","S"
"374","0","1","male",22,"No","C"
"375","0","3","female",3,"Yes","S"
"376","1","1","female",38.2334408602151,"Yes","C"
"377","1","3","female",22,"No","S"
"378","0","1","male",27,"Yes","C"
"379","0","3","male",20,"No","C"
"380","0","3","male",19,"No","S"
"381","1","1","female",42,"No","C"
"382","1","3","female",1,"Yes","C"
"383","0","3","male",32,"No","S"
"384","1","1","female",35,"Yes","S"
"385","0","3","male",25.1406197183099,"No","S"
"386","0","2","male",18,"No","S"
"387","0","3","male",1,"Yes","S"
"388","1","2","female",36,"No","S"
"389","0","3","male",25.1406197183099,"No","Q"
"390","1","2","female",17,"No","C"
"391","1","1","male",36,"Yes","S"
"392","1","3","male",21,"No","S"
"393","0","3","male",28,"Yes","S"
"394","1","1","female",23,"Yes","C"
"395","1","3","female",24,"Yes","S"
"396","0","3","male",22,"No","S"
"397","0","3","female",31,"No","S"
"398","0","2","male",46,"No","S"
"399","0","2","male",23,"No","S"
"400","1","2","female",28,"No","S"
"401","1","3","male",39,"No","S"
"402","0","3","male",26,"No","S"
"403","0","3","female",21,"Yes","S"
"404","0","3","male",28,"Yes","S"
"405","0","3","female",20,"No","S"
"406","0","2","male",34,"Yes","S"
"407","0","3","male",51,"No","S"
"408","1","2","male",3,"Yes","S"
"409","0","3","male",21,"No","S"
"410","0","3","female",25.1406197183099,"Yes","S"
"411","0","3","male",25.1406197183099,"No","S"
"412","0","3","male",25.1406197183099,"No","Q"
"413","1","1","female",33,"Yes","Q"
"414","0","2","male",29.8776300578035,"No","S"
"415","1","3","male",44,"No","S"
"416","0","3","female",25.1406197183099,"No","S"
"417","1","2","female",34,"Yes","S"
"418","1","2","female",18,"Yes","S"
"419","0","2","male",30,"No","S"
"420","0","3","female",10,"Yes","S"
"421","0","3","male",25.1406197183099,"No","C"
"422","0","3","male",21,"No","Q"
"423","0","3","male",29,"No","S"
"424","0","3","female",28,"Yes","S"
"425","0","3","male",18,"Yes","S"
"426","0","3","male",25.1406197183099,"No","S"
"427","1","2","female",28,"Yes","S"
"428","1","2","female",19,"No","S"
"429","0","3","male",25.1406197183099,"No","Q"
"430","1","3","male",32,"No","S"
"431","1","1","male",28,"No","S"
"432","1","3","female",25.1406197183099,"Yes","S"
"433","1","2","female",42,"Yes","S"
"434","0","3","male",17,"No","S"
"435","0","1","male",50,"Yes","S"
"436","1","1","female",14,"Yes","S"
"437","0","3","female",21,"Yes","S"
"438","1","2","female",24,"Yes","S"
"439","0","1","male",64,"Yes","S"
"440","0","2","male",31,"No","S"
"441","1","2","female",45,"Yes","S"
"442","0","3","male",20,"No","S"
"443","0","3","male",25,"Yes","S"
"444","1","2","female",28,"No","S"
"445","1","3","male",25.1406197183099,"No","S"
"446","1","1","male",4,"Yes","S"
"447","1","2","female",13,"Yes","S"
"448","1","1","male",34,"No","S"
"449","1","3","female",5,"Yes","C"
"450","1","1","male",52,"No","S"
"451","0","2","male",36,"Yes","S"
"452","0","3","male",25.1406197183099,"Yes","S"
"453","0","1","male",30,"No","C"
"454","1","1","male",49,"Yes","C"
"455","0","3","male",25.1406197183099,"No","S"
"456","1","3","male",29,"No","C"
"457","0","1","male",65,"No","S"
"458","1","1","female",38.2334408602151,"Yes","S"
"459","1","2","female",50,"No","S"
"460","0","3","male",25.1406197183099,"No","Q"
"461","1","1","male",48,"No","S"
"462","0","3","male",34,"No","S"
"463","0","1","male",47,"No","S"
"464","0","2","male",48,"No","S"
"465","0","3","male",25.1406197183099,"No","S"
"466","0","3","male",38,"No","S"
"467","0","2","male",29.8776300578035,"No","S"
"468","0","1","male",56,"No","S"
"469","0","3","male",25.1406197183099,"No","Q"
"470","1","3","female",0.75,"Yes","C"
"471","0","3","male",25.1406197183099,"No","S"
"472","0","3","male",38,"No","S"
"473","1","2","female",33,"Yes","S"
"474","1","2","female",23,"No","C"
"475","0","3","female",22,"No","S"
"476","0","1","male",38.2334408602151,"No","S"
"477","0","2","male",34,"Yes","S"
"478","0","3","male",29,"Yes","S"
"479","0","3","male",22,"No","S"
"480","1","3","female",2,"Yes","S"
"481","0","3","male",9,"Yes","S"
"482","0","2","male",29.8776300578035,"No","S"
"483","0","3","male",50,"No","S"
"484","1","3","female",63,"No","S"
"485","1","1","male",25,"Yes","C"
"486","0","3","female",25.1406197183099,"Yes","S"
"487","1","1","female",35,"Yes","S"
"488","0","1","male",58,"No","C"
"489","0","3","male",30,"No","S"
"490","1","3","male",9,"Yes","S"
"491","0","3","male",25.1406197183099,"Yes","S"
"492","0","3","male",21,"No","S"
"493","0","1","male",55,"No","S"
"494","0","1","male",71,"No","C"
"495","0","3","male",21,"No","S"
"496","0","3","male",25.1406197183099,"No","C"
"497","1","1","female",54,"Yes","C"
"498","0","3","male",25.1406197183099,"No","S"
"499","0","1","female",25,"Yes","S"
"500","0","3","male",24,"No","S"
"501","0","3","male",17,"No","S"
"502","0","3","female",21,"No","Q"
"503","0","3","female",25.1406197183099,"No","Q"
"504","0","3","female",37,"No","S"
"505","1","1","female",16,"No","S"
"506","0","1","male",18,"Yes","C"
"507","1","2","female",33,"Yes","S"
"508","1","1","male",38.2334408602151,"No","S"
"509","0","3","male",28,"No","S"
"510","1","3","male",26,"No","S"
"511","1","3","male",29,"No","Q"
"512","0","3","male",25.1406197183099,"No","S"
"513","1","1","male",36,"No","S"
"514","1","1","female",54,"Yes","C"
"515","0","3","male",24,"No","S"
"516","0","1","male",47,"No","S"
"517","1","2","female",34,"No","S"
"518","0","3","male",25.1406197183099,"No","Q"
"519","1","2","female",36,"Yes","S"
"520","0","3","male",32,"No","S"
"521","1","1","female",30,"No","S"
"522","0","3","male",22,"No","S"
"523","0","3","male",25.1406197183099,"No","C"
"524","1","1","female",44,"Yes","C"
"525","0","3","male",25.1406197183099,"No","C"
"526","0","3","male",40.5,"No","Q"
"527","1","2","female",50,"No","S"
"528","0","1","male",38.2334408602151,"No","S"
"529","0","3","male",39,"No","S"
"530","0","2","male",23,"Yes","S"
"531","1","2","female",2,"Yes","S"
"532","0","3","male",25.1406197183099,"No","C"
"533","0","3","male",17,"Yes","C"
"534","1","3","female",25.1406197183099,"Yes","C"
"535","0","3","female",30,"No","S"
"536","1","2","female",7,"Yes","S"
"537","0","1","male",45,"No","S"
"538","1","1","female",30,"No","C"
"539","0","3","male",25.1406197183099,"No","S"
"540","1","1","female",22,"Yes","C"
"541","1","1","female",36,"Yes","S"
"542","0","3","female",9,"Yes","S"
"543","0","3","female",11,"Yes","S"
"544","1","2","male",32,"Yes","S"
"545","0","1","male",50,"Yes","C"
"546","0","1","male",64,"No","S"
"547","1","2","female",19,"Yes","S"
"548","1","2","male",29.8776300578035,"No","C"
"549","0","3","male",33,"Yes","S"
"550","1","2","male",8,"Yes","S"
"551","1","1","male",17,"Yes","C"
"552","0","2","male",27,"No","S"
"553","0","3","male",25.1406197183099,"No","Q"
"554","1","3","male",22,"No","C"
"555","1","3","female",22,"No","S"
"556","0","1","male",62,"No","S"
"557","1","1","female",48,"Yes","C"
"558","0","1","male",38.2334408602151,"No","C"
"559","1","1","female",39,"Yes","S"
"560","1","3","female",36,"Yes","S"
"561","0","3","male",25.1406197183099,"No","Q"
"562","0","3","male",40,"No","S"
"563","0","2","male",28,"No","S"
"564","0","3","male",25.1406197183099,"No","S"
"565","0","3","female",25.1406197183099,"No","S"
"566","0","3","male",24,"Yes","S"
"567","0","3","male",19,"No","S"
"568","0","3","female",29,"Yes","S"
"569","0","3","male",25.1406197183099,"No","C"
"570","1","3","male",32,"No","S"
"571","1","2","male",62,"No","S"
"572","1","1","female",53,"Yes","S"
"573","1","1","male",36,"No","S"
"574","1","3","female",25.1406197183099,"No","Q"
"575","0","3","male",16,"No","S"
"576","0","3","male",19,"No","S"
"577","1","2","female",34,"No","S"
"578","1","1","female",39,"Yes","S"
"579","0","3","female",25.1406197183099,"Yes","C"
"580","1","3","male",32,"No","S"
"581","1","2","female",25,"Yes","S"
"582","1","1","female",39,"Yes","C"
"583","0","2","male",54,"No","S"
"584","0","1","male",36,"No","C"
"585","0","3","male",25.1406197183099,"No","C"
"586","1","1","female",18,"Yes","S"
"587","0","2","male",47,"No","S"
"588","1","1","male",60,"Yes","C"
"589","0","3","male",22,"No","S"
"590","0","3","male",25.1406197183099,"No","S"
"591","0","3","male",35,"No","S"
"592","1","1","female",52,"Yes","C"
"593","0","3","male",47,"No","S"
"594","0","3","female",25.1406197183099,"Yes","Q"
"595","0","2","male",37,"Yes","S"
"596","0","3","male",36,"Yes","S"
"597","1","2","female",29.8776300578035,"No","S"
"598","0","3","male",49,"No","S"
"599","0","3","male",25.1406197183099,"No","C"
"600","1","1","male",49,"Yes","C"
"601","1","2","female",24,"Yes","S"
"602","0","3","male",25.1406197183099,"No","S"
"603","0","1","male",38.2334408602151,"No","S"
"604","0","3","male",44,"No","S"
"605","1","1","male",35,"No","C"
"606","0","3","male",36,"Yes","S"
"607","0","3","male",30,"No","S"
"608","1","1","male",27,"No","S"
"609","1","2","female",22,"Yes","C"
"610","1","1","female",40,"No","S"
"611","0","3","female",39,"Yes","S"
"612","0","3","male",25.1406197183099,"No","S"
"613","1","3","female",25.1406197183099,"Yes","Q"
"614","0","3","male",25.1406197183099,"No","Q"
"615","0","3","male",35,"No","S"
"616","1","2","female",24,"Yes","S"
"617","0","3","male",34,"Yes","S"
"618","0","3","female",26,"Yes","S"
"619","1","2","female",4,"Yes","S"
"620","0","2","male",26,"No","S"
"621","0","3","male",27,"Yes","C"
"622","1","1","male",42,"Yes","S"
"623","1","3","male",20,"Yes","C"
"624","0","3","male",21,"No","S"
"625","0","3","male",21,"No","S"
"626","0","1","male",61,"No","S"
"627","0","2","male",57,"No","Q"
"628","1","1","female",21,"No","S"
"629","0","3","male",26,"No","S"
"630","0","3","male",25.1406197183099,"No","Q"
"632","0","3","male",51,"No","S"
"633","1","1","male",32,"No","C"
"634","0","1","male",38.2334408602151,"No","S"
"635","0","3","female",9,"Yes","S"
"636","1","2","female",28,"No","S"
"637","0","3","male",32,"No","S"
"638","0","2","male",31,"Yes","S"
"639","0","3","female",41,"Yes","S"
"640","0","3","male",25.1406197183099,"Yes","S"
"641","0","3","male",20,"No","S"
"642","1","1","female",24,"No","C"
"643","0","3","female",2,"Yes","S"
"644","1","3","male",25.1406197183099,"No","S"
"645","1","3","female",0.75,"Yes","C"
"646","1","1","male",48,"Yes","C"
"647","0","3","male",19,"No","S"
"648","1","1","male",56,"No","C"
"649","0","3","male",25.1406197183099,"No","S"
"650","1","3","female",23,"No","S"
"651","0","3","male",25.1406197183099,"No","S"
"652","1","2","female",18,"Yes","S"
"653","0","3","male",21,"No","S"
"654","1","3","female",25.1406197183099,"No","Q"
"655","0","3","female",18,"No","Q"
"656","0","2","male",24,"Yes","S"
"657","0","3","male",25.1406197183099,"No","S"
"658","0","3","female",32,"Yes","Q"
"659","0","2","male",23,"No","S"
"660","0","1","male",58,"Yes","C"
"661","1","1","male",50,"Yes","S"
"662","0","3","male",40,"No","C"
"663","0","1","male",47,"No","S"
"664","0","3","male",36,"No","S"
"665","1","3","male",20,"Yes","S"
"666","0","2","male",32,"Yes","S"
"667","0","2","male",25,"No","S"
"668","0","3","male",25.1406197183099,"No","S"
"669","0","3","male",43,"No","S"
"670","1","1","female",38.2334408602151,"Yes","S"
"671","1","2","female",40,"Yes","S"
"672","0","1","male",31,"Yes","S"
"673","0","2","male",70,"No","S"
"674","1","2","male",31,"No","S"
"675","0","2","male",29.8776300578035,"No","S"
"676","0","3","male",18,"No","S"
"677","0","3","male",24.5,"No","S"
"678","1","3","female",18,"No","S"
"679","0","3","female",43,"Yes","S"
"680","1","1","male",36,"Yes","C"
"681","0","3","female",25.1406197183099,"No","Q"
"682","1","1","male",27,"No","C"
"683","0","3","male",20,"No","S"
"684","0","3","male",14,"Yes","S"
"685","0","2","male",60,"Yes","S"
"686","0","2","male",25,"Yes","C"
"687","0","3","male",14,"Yes","S"
"688","0","3","male",19,"No","S"
"689","0","3","male",18,"No","S"
"690","1","1","female",15,"Yes","S"
"691","1","1","male",31,"Yes","S"
"692","1","3","female",4,"Yes","C"
"693","1","3","male",25.1406197183099,"No","S"
"694","0","3","male",25,"No","C"
"695","0","1","male",60,"No","S"
"696","0","2","male",52,"No","S"
"697","0","3","male",44,"No","S"
"698","1","3","female",25.1406197183099,"No","Q"
"699","0","1","male",49,"Yes","C"
"700","0","3","male",42,"No","S"
"701","1","1","female",18,"Yes","C"
"702","1","1","male",35,"No","S"
